rebalance_date,portfolio,theme,leader_count,selected_count,capture_rate
2020-10-30,concentrated,Construction & Engineering,2,1,0.5
2020-10-30,concentrated,Software - Application,6,1,0.16666666666666666
2020-10-30,concentrated,Auto Manufacturers & Parts,2,0,0.0
2020-10-30,concentrated,Capital Goods - Machinery,3,0,0.0
2020-10-30,concentrated,Chemicals,1,0,0.0
2020-10-30,concentrated,Household & Personal Products,3,0,0.0
2020-10-30,concentrated,Internet Content & Information,2,0,0.0
2020-10-30,concentrated,Semiconductors,1,0,0.0
2020-10-30,concentrated,Specialty Retail,2,0,0.0
2020-10-30,concentrated,Tech Hardware & Storage,2,0,0.0
2020-10-30,main,Medical Devices,1,1,1.0
2020-10-30,main,Construction & Engineering,2,1,0.5
2020-10-30,main,Software - Application,6,2,0.3333333333333333
2020-10-30,main,Auto Manufacturers & Parts,2,0,0.0
2020-10-30,main,Capital Goods - Machinery,3,0,0.0
2020-10-30,main,Chemicals,1,0,0.0
2020-10-30,main,Household & Personal Products,3,0,0.0
2020-10-30,main,Internet Content & Information,2,0,0.0
2020-10-30,main,Semiconductors,1,0,0.0
2020-10-30,main,Specialty Retail,2,0,0.0
2020-10-30,main,Tech Hardware & Storage,2,0,0.0
2020-11-30,concentrated,Other,3,1,0.3333333333333333
2020-11-30,concentrated,Auto Manufacturers & Parts,1,0,0.0
2020-11-30,concentrated,Banks - Regional,1,0,0.0
2020-11-30,concentrated,Capital Goods - Machinery,2,0,0.0
2020-11-30,concentrated,Construction & Engineering,1,0,0.0
2020-11-30,concentrated,Food Beverage & Tobacco,2,0,0.0
2020-11-30,concentrated,Hotels Restaurants & Leisure,1,0,0.0
2020-11-30,concentrated,Medical Devices,1,0,0.0
2020-11-30,concentrated,Semiconductors,6,0,0.0
2020-11-30,concentrated,Software - Application,2,0,0.0
2020-11-30,concentrated,Specialty Retail,1,0,0.0
2020-11-30,concentrated,Tech Hardware & Storage,4,0,0.0
2020-11-30,main,Medical Devices,1,1,1.0
2020-11-30,main,Food Beverage & Tobacco,2,1,0.5
2020-11-30,main,Other,3,1,0.3333333333333333
2020-11-30,main,Auto Manufacturers & Parts,1,0,0.0
2020-11-30,main,Banks - Regional,1,0,0.0
2020-11-30,main,Capital Goods - Machinery,2,0,0.0
2020-11-30,main,Construction & Engineering,1,0,0.0
2020-11-30,main,Hotels Restaurants & Leisure,1,0,0.0
2020-11-30,main,Semiconductors,6,0,0.0
2020-11-30,main,Software - Application,2,0,0.0
2020-11-30,main,Specialty Retail,1,0,0.0
2020-11-30,main,Tech Hardware & Storage,4,0,0.0
2020-12-31,concentrated,Semiconductors,3,1,0.3333333333333333
2020-12-31,concentrated,Auto Manufacturers & Parts,1,0,0.0
2020-12-31,concentrated,Banks - Diversified,1,0,0.0
2020-12-31,concentrated,Banks - Regional,5,0,0.0
2020-12-31,concentrated,Capital Goods - Machinery,1,0,0.0
2020-12-31,concentrated,Capital Markets,1,0,0.0
2020-12-31,concentrated,Construction & Engineering,1,0,0.0
2020-12-31,concentrated,Food Beverage & Tobacco,1,0,0.0
2020-12-31,concentrated,Hotels Restaurants & Leisure,3,0,0.0
2020-12-31,concentrated,Internet Content & Information,1,0,0.0
2020-12-31,concentrated,Other,4,0,0.0
2020-12-31,concentrated,Tech Hardware & Storage,3,0,0.0
2020-12-31,main,Semiconductors,3,1,0.3333333333333333
2020-12-31,main,Other,4,1,0.25
2020-12-31,main,Banks - Regional,5,1,0.2
2020-12-31,main,Auto Manufacturers & Parts,1,0,0.0
2020-12-31,main,Banks - Diversified,1,0,0.0
2020-12-31,main,Capital Goods - Machinery,1,0,0.0
2020-12-31,main,Capital Markets,1,0,0.0
2020-12-31,main,Construction & Engineering,1,0,0.0
2020-12-31,main,Food Beverage & Tobacco,1,0,0.0
2020-12-31,main,Hotels Restaurants & Leisure,3,0,0.0
2020-12-31,main,Internet Content & Information,1,0,0.0
2020-12-31,main,Tech Hardware & Storage,3,0,0.0
2021-01-29,concentrated,Internet Content & Information,2,1,0.5
2021-01-29,concentrated,Apparel & Luxury,2,0,0.0
2021-01-29,concentrated,Banks - Diversified,1,0,0.0
2021-01-29,concentrated,Banks - Regional,3,0,0.0
2021-01-29,concentrated,Chemicals,1,0,0.0
2021-01-29,concentrated,Communication Equipment,3,0,0.0
2021-01-29,concentrated,Construction & Engineering,1,0,0.0
2021-01-29,concentrated,Other,4,0,0.0
2021-01-29,concentrated,Semiconductors,5,0,0.0
2021-01-29,concentrated,Software - Application,1,0,0.0
2021-01-29,concentrated,Specialty Retail,1,0,0.0
2021-01-29,concentrated,Tech Hardware & Storage,1,0,0.0
2021-01-29,main,Chemicals,1,1,1.0
2021-01-29,main,Communication Equipment,3,2,0.6666666666666666
2021-01-29,main,Internet Content & Information,2,1,0.5
2021-01-29,main,Semiconductors,5,2,0.4
2021-01-29,main,Banks - Regional,3,1,0.3333333333333333
2021-01-29,main,Apparel & Luxury,2,0,0.0
2021-01-29,main,Banks - Diversified,1,0,0.0
2021-01-29,main,Construction & Engineering,1,0,0.0
2021-01-29,main,Other,4,0,0.0
2021-01-29,main,Software - Application,1,0,0.0
2021-01-29,main,Specialty Retail,1,0,0.0
2021-01-29,main,Tech Hardware & Storage,1,0,0.0
2021-02-26,concentrated,Banks - Regional,3,1,0.3333333333333333
2021-02-26,concentrated,Semiconductors,6,2,0.3333333333333333
2021-02-26,concentrated,Other,7,1,0.14285714285714285
2021-02-26,concentrated,Banks - Diversified,2,0,0.0
2021-02-26,concentrated,Capital Markets,1,0,0.0
2021-02-26,concentrated,Construction & Engineering,3,0,0.0
2021-02-26,concentrated,Internet Content & Information,1,0,0.0
2021-02-26,concentrated,Oil Gas & Consumable Fuels,1,0,0.0
2021-02-26,concentrated,Tech Hardware & Storage,1,0,0.0
2021-02-26,main,Semiconductors,6,4,0.6666666666666666
2021-02-26,main,Banks - Regional,3,1,0.3333333333333333
2021-02-26,main,Other,7,1,0.14285714285714285
2021-02-26,main,Banks - Diversified,2,0,0.0
2021-02-26,main,Capital Markets,1,0,0.0
2021-02-26,main,Construction & Engineering,3,0,0.0
2021-02-26,main,Internet Content & Information,1,0,0.0
2021-02-26,main,Oil Gas & Consumable Fuels,1,0,0.0
2021-02-26,main,Tech Hardware & Storage,1,0,0.0
2021-03-31,concentrated,Banks - Regional,3,1,0.3333333333333333
2021-03-31,concentrated,Semiconductors,6,2,0.3333333333333333
2021-03-31,concentrated,Auto Manufacturers & Parts,1,0,0.0
2021-03-31,concentrated,Banks - Diversified,1,0,0.0
2021-03-31,concentrated,Capital Goods - Machinery,1,0,0.0
2021-03-31,concentrated,Capital Markets,4,0,0.0
2021-03-31,concentrated,Communication Equipment,1,0,0.0
2021-03-31,concentrated,Construction & Engineering,1,0,0.0
2021-03-31,concentrated,Insurance,1,0,0.0
2021-03-31,concentrated,Oil Gas & Consumable Fuels,1,0,0.0
2021-03-31,concentrated,Other,2,0,0.0
2021-03-31,concentrated,Specialty Retail,1,0,0.0
2021-03-31,concentrated,Tech Hardware & Storage,2,0,0.0
2021-03-31,main,Construction & Engineering,1,1,1.0
2021-03-31,main,Insurance,1,1,1.0
2021-03-31,main,Other,2,1,0.5
2021-03-31,main,Semiconductors,6,3,0.5
2021-03-31,main,Banks - Regional,3,1,0.3333333333333333
2021-03-31,main,Auto Manufacturers & Parts,1,0,0.0
2021-03-31,main,Banks - Diversified,1,0,0.0
2021-03-31,main,Capital Goods - Machinery,1,0,0.0
2021-03-31,main,Capital Markets,4,0,0.0
2021-03-31,main,Communication Equipment,1,0,0.0
2021-03-31,main,Oil Gas & Consumable Fuels,1,0,0.0
2021-03-31,main,Specialty Retail,1,0,0.0
2021-03-31,main,Tech Hardware & Storage,2,0,0.0
