rebalance_date,next_rebalance_date,gross_return,cost,net_return,turnover,missing_tickers,cash_weight,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_n,weighting_mode,portfolio_mode,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,equity,equity_value_usd,bench_return,benchmark_equity,benchmark_value_usd,target_stock_names
2019-11-29,2019-12-31,0.08965823666632433,0.0,0.08965823666632433,0.0,0,0.0,scheduled_hold,2,2019-12-31,2,winner_take_all,concentrated_alpha,0.08965823666632433,0.0,0,True,-0.08,1.0979307874860713,109793.07874860713,0.046238282266118924,1.114278678263725,111427.8678263725,2
2019-12-31,2020-01-31,0.06245563812163324,0.005,0.05745563812163324,1.0,0,0.0,rebalance,2,2020-02-28,2,winner_take_all,concentrated_alpha,0.06245563812163324,0.0,0,True,-0.08,1.161013101494471,116101.31014944709,-0.0027410715656029927,1.1112243606625787,111122.43606625787,2
2020-01-31,2020-02-28,-0.06245277615712996,0.0,-0.06245277615712996,0.0,0,0.0,scheduled_hold,2,2020-02-28,2,winner_take_all,concentrated_alpha,-0.06245277615712996,0.0,0,True,-0.08,1.0885046101513416,108850.46101513416,-0.048843923519200194,1.0569478029777035,105694.78029777035,2
2020-02-28,2020-03-31,-0.08,0.0,-0.08,0.0,0,1.0,rebalance,2,2020-04-30,2,winner_take_all,concentrated_alpha,-0.22734123635181813,0.14734123635181812,1,True,-0.08,1.0014242413392342,100142.42413392343,-0.20054494325665084,0.8449822658042982,84498.22658042982,2
2020-03-31,2020-04-30,0.0,0.0,0.0,0.0,0,1.0,scheduled_hold,2,2020-04-30,2,winner_take_all,concentrated_alpha,0.0,0.0,0,True,-0.08,1.0014242413392342,100142.42413392343,0.1458044930176079,0.9681844766787635,96818.44766787635,2
2020-04-30,2020-05-29,0.04758648889297512,0.005,0.04258648889297512,1.0,0,0.0,rebalance,2,2020-06-30,2,winner_take_all,concentrated_alpha,0.04758648889297512,0.0,0,True,-0.08,1.0440713836701836,104407.13836701836,0.07949242416213598,1.0451478077661074,104514.78077661074,2
2020-05-29,2020-06-30,0.12662993379194054,0.0,0.12662993379194054,0.0,0,0.0,scheduled_hold,2,2020-06-30,2,winner_take_all,concentrated_alpha,0.12662993379194054,0.0,0,True,-0.08,1.1762820738583988,117628.20738583988,0.019677785668236414,1.065714002318956,106571.40023189559,2
2020-06-30,2020-07-31,0.09457801615219186,0.005,0.08957801615219185,1.0,0,0.0,rebalance,2,2020-08-31,2,winner_take_all,concentrated_alpha,0.09457801615219186,0.0,0,True,-0.08,1.2816510884700203,128165.10884700203,0.0573677893101745,1.1268516586688926,112685.16586688926,2
2020-07-31,2020-08-31,0.09303160098123642,0.0,0.09303160098123642,0.0,0,0.0,scheduled_hold,2,2020-08-31,2,winner_take_all,concentrated_alpha,0.09303160098123642,0.0,0,True,-0.08,1.4008851411297305,140088.51411297306,0.07043018748804863,1.2062160322601614,120621.60322601614,2
2020-08-31,2020-09-30,-0.08,0.005,-0.085,1.0,0,1.0,rebalance,2,2020-10-30,2,winner_take_all,concentrated_alpha,-0.09962318923341196,0.019623189233411956,1,True,-0.08,1.2818099041337034,128180.99041337034,-0.04135652814994395,1.1563311249670802,115633.11249670802,2
