rebalance_date,market_style_regime_label,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,n_candidates,top_breakout,top_turnaround,top_compounder
2024-10-31,quality_compounder,0.1496830458210615,0.2603300459837743,0.59284558235733,0.3101251060349095,0.20783114893032617,0.6704109630388116,0.3559238202051877,0.3982092927057241,619,"TPL,GEN,GILD,PCTY,MO","LVS,CHH,EXP,CHDN,MTZ","CHH,EXP,ROIV,TPL,NVDA"
2024-11-29,balanced,0.2494071908978468,0.2699196301847979,0.3904001813394732,0.0398461440451421,0.1469317131641758,0.0973340408073083,0.1774494869795717,0.1346621629745541,626,"ATO,TKO,V,FICO,CPRT","ACI,TPL,GTLS,EXP,BKR","EXP,ROIV,DECK,HLI,TAP"
2024-12-31,quality_compounder,0.2505310589211279,0.3443872521836234,0.720063853011248,0.2482372996900031,0.2203141696359915,0.7729609716043797,0.5995763338864137,0.2738612097059865,622,"V,DBX,AAPL,AVGO,TKO","P,MAR,DKNG,CHH,JBL","EXP,ROIV,DECK,TAP,COO"
2025-01-31,balanced,0.1855586213357805,0.2850972768646309,0.3706666013070893,0.0770051798482806,0.1077981968594651,0.0341985623135374,0.0426828389127897,0.1329538484395845,628,"GOOGL,GOOG,RPRX,DBX,TKO","TPL,UNH,JBL,NXT,DKS","JBL,ROIV,TAP,COO,HLI"
2025-02-28,quality_compounder,0.1161283641150994,0.2593801972266281,0.5861681663960594,0.5148568823583302,0.2036194595162923,0.0571396293989026,0.0914234070382442,0.302145561769968,628,"HALO,GL,CME,VRSN,AM","GILD,SUI,ORLY,RYN,AMGN","NEE,WH,ALSN,JBL,FTNT"
2025-03-31,cash_defense,0.0,0.2392214316450593,0.5340028283742417,0.7499252158060699,0.1819902882122112,0.1155059981730776,0.23101199634615532,0.3040920508887721,628,"TMUS,MA,UBER,NVDA,BKNG","QGEN,RYN,PK,GLPI,HIW","NEE,WH,ALSN,NVDA,FTNT"
2025-04-30,balanced,0.1299518443379772,0.3192344724416479,0.2501984710131403,0.3576611963959533,0.128967046080401,0.0,0.0,0.1370977510702564,618,"VRSN,MNST,SBAC,ATO,CNP","TAP,KIM,DUOL,EXR,NNN","WH,ALSN,NVDA,FTNT,EW"
2025-05-30,balanced,0.4455193357855275,0.4347019700659881,0.42310450355093976,0.0290944861890162,0.23118630337339657,0.24546382261842914,0.0794990738082865,0.12384773046775069,616,"AVGO,THC,VEEV,MNST,NTES","SMR,TTC,APPF,GEV,HUBB","BLD,EW,EXP,LI,SEIC"
2025-06-30,balanced,0.3960930610836798,0.3884330033023126,0.3712569957773797,0.0375532069232557,0.24123508699621546,0.0366511502629112,0.0733023005258224,0.1002071367974534,627,"BKNG,NVDA,ORCL,AVGO,THC","QCOM,EVR,APPF,AMAT,MPWR","BLD,LI,EW,EXP,SEIC"
2025-07-31,quality_compounder,0.2162480710738701,0.3102015330172408,0.4709151389193768,0.10797188607965572,0.146967649915874,0.3400000000000003,0.4000000000000001,0.1671045801176222,646,"ORCL,MSFT,ANET,NDAQ,PTC","WBS,FRHC,EVR,ARES,KKR","BLD,MLI,EW,VRSK,NVDA"
2025-08-29,balanced,0.22266171928448922,0.2765247732662357,0.3627472797846007,0.0402023989246324,0.1457332008387778,0.0704788135839491,0.1127661017343186,0.1173986795007728,623,"GOOG,GOOGL,URI,GRMN,WDC","ZTO,DAL,UAL,CSX,CHRW","SSD,MLI,EW,VRSK,REG"
2025-09-30,balanced,0.24091542397937926,0.2696722792989575,0.44784205194195537,0.0901248937570636,0.1541401820156024,0.2684567472081757,0.44807374805574507,0.1773991583315094,626,"LRCX,WDC,NVDA,UI,NSC","QGEN,FANG,UNH,THC,MTDR","MLI,SSD,VRSK,EW,LI"
2025-10-31,quality_compounder,0.1930775266664267,0.22174412956332662,0.4955105784011534,0.2998107485735016,0.11919154353424279,0.0948154031566385,0.151122640878381,0.1919415075628556,642,"WDC,UI,GOOG,GOOGL,LRCX","QGEN,NTRA,MTD,LEA,COR","SSD,EW,NVDA,UBER,HLI"
2025-11-28,quality_compounder,0.1870465067769905,0.3191793930276971,0.5045719938782436,0.1583146919068569,0.2279451498405502,0.081921653065221,0.1638433061304421,0.1264212691916155,630,"AAPL,QSR,GOOG,GOOGL,JKHY","GMED,STE,PEN,MDT,EW","UI,DRI,APP,MA,WDC"
2025-12-31,balanced,0.22472282844419977,0.3448080047718225,0.3680464475025395,0.0315165352141323,0.1858755171374272,0.11571428571428549,0.0,0.11837282973501731,627,"MU,LRCX,JKHY,TPR,XOM","TPR,DECK,HLNE,MSCI,GMED","UI,MA,APP,V,WDC"
2026-01-30,quality_compounder,0.2724919856673939,0.4583255250738014,0.5402645788704784,0.0728667688608632,0.3550267039109947,0.3,0.6,0.1999593680075604,632,"GOOGL,GOOG,MU,LRCX,AMAT","TPR,ESI,MSCI,HLNE,CTVA","UI,FDS,MA,MKC,APP"
2026-02-27,quality_compounder,0.1447980534558536,0.24760423793261438,0.5779635343100956,0.4614718295774427,0.24171363254250494,0.0,0.0,0.2215434228160455,620,"PR,SCCO,LNG,AM,CBOE","PRMB,PPC,SFM,DLTR,POST","MEDP,UI,CW,NVDA,WM"
2026-03-31,cash_defense,0.0,0.3155282483167266,0.7301439162270014,0.6248286881859489,0.1506932109770607,0.6472069856279287,0.6412454627189714,0.3522512328109696,606,"GOOGL,GOOG,LNG,BKNG,NVDA","SFD,PR,PPC,ADM,MTDR","MEDP,UI,FDS,NVDA,WM"
