ticker,Name,sector,portfolio_sleeve_label,portfolio_candidate_gate_label,governance_catalyst_score,governance_catalyst_label,event_regime_label,live_event_alert_label,portfolio_monster_early_score,rs_acceleration_score,market_cap_live,ownership_flow_pillar_score,insider_cluster_boost_score,event_revision_pillar_score,selection_flow_confirmation_score,event_reaction_score,live_event_growth_reentry_score,live_event_defensive_score,live_event_risk_score,focus_live_event_growth_score,focus_event_stress_penalty
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,future_winner,future_relaxed,0.963749654980961,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.4259887072307006,15308734911.75,0.0666666666666666,0.0,2.34846452422827,0.2,2.7060699055229747,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1883764538329142,0.0
EXEL,EXELIXIS INC,Health Care,early_scout,early_relaxed,0.9318184048648859,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.3991816237601676,12105260758.926258,0.0666666666666666,0.0,2.470242907497965,0.2,2.330823727056214,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2303015430440075,0.0
SNDK,SANDISK CORP,Information Technology,unassigned,rejected,0.8909082923541444,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,231366547452.05835,0.0666666666666666,0.0,0.8415917606761958,0.0,4.229624506080295,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4848452238559277,0.0
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,unassigned,rejected,0.8732686417630383,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.2941447036295201,6142388310.611725,0.0666666666666666,0.0,2.380128184854557,0.2,2.064203291815266,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1187121888660259,0.0021350131480955
TLN,TALEN ENERGY CORP,Utilities,future_winner,future_relaxed,0.845522294739155,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.4765420560232961,17539268632.934692,0.0666666666666666,0.0,1.7856471530724698,0.2,2.668310665452001,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1200521090337446,0.0
FLEX,FLEX LTD,Information Technology,future_winner,future_relaxed,0.8061728178893062,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,54593279296.875,0.0666666666666666,0.0,0.8052773236472879,0.0,3.713140592353252,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4447283282976055,0.0
STX,Seagate Technology,Information Technology,future_winner,future_relaxed,0.8021625304052514,growth_reentry,balanced,growth_reentry_alert,0.0,0.0,175490581583.48438,0.0666666666666666,0.0,0.5636676836827705,0.0,4.00855152907891,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4724948351992301,0.0
OLED,UNIVERSAL DISPLAY CORP,Information Technology,unassigned,rejected,0.799849897750383,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.1250977158137565,4289394249.25,0.0666666666666666,0.0,1.987522837978536,0.2,2.10465448714366,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0246964111014054,0.0059964288949362
EME,EMCOR GROUP INC,Industrials,future_winner,future_relaxed,0.7970758043591307,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.1660358847501695,40957938466.90064,0.0666666666666666,0.0,1.8181562355572305,0.2,2.301988619605492,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2807495486192403,0.0
APP,APPLOVIN CORP CLASS A,Information Technology,core_compounder,core_strict,0.7826510508625149,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.1177694073714066,157570549594.84863,0.0666666666666666,0.0,1.4863271921028467,0.2,2.6482623209005647,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1145443491288756,0.0
