date,base_equity_usd,overlay_equity_usd,base_cash_weight,overlay_cash_weight,crisis_state,policy_cash_floor,equity_drawdown_cash_floor,target_cash_weight_next,cash_action,turnover_from_cash_action,cash_action_cost_usd,base_equity_usd_peak,overlay_equity_usd_peak,base_drawdown,overlay_drawdown
2021-10-21,238526.48851459264,144460.96778499638,0.4532302686021486,0.55,GREEN,0.03,0.45,0.55,RELEASE_CASH,0.09999999999999998,36.12427301450271,255853.741753118,163910.20756966504,-0.06772327471077211,-0.11865789247080516
2021-10-22,238372.42865436315,144349.3522734137,0.4535231908676421,0.4535231908676421,GREEN,0.03,0.45,0.4535231908676421,RELEASE_CASH,0.09647680913235795,34.824311615316276,255853.741753118,163910.20756966504,-0.06832541505538414,-0.11933884769157888
2021-10-25,239391.9725386405,144966.74959633627,0.4515916858521495,0.4535231908676421,GREEN,0.03,0.45,0.4535231908676421,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.06434054511644405,-0.115572167555687
2021-10-26,239155.4130141044,144824.00260515104,0.4520383757812767,0.4535231908676421,GREEN,0.03,0.45,0.4535231908676421,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.06526513399646272,-0.11644305286113432
2021-10-27,236402.4580733085,143091.10869317327,0.4573024550559961,0.65,GREEN,0.03,0.65,0.65,RAISE_CASH,0.19647680913235793,70.31975162916292,255853.741753118,163910.20756966504,-0.07602501158094732,-0.12701526759792092
2021-10-28,239941.8053023124,144436.62771175744,0.4505568519916204,0.55,GREEN,0.03,0.45,0.55,RELEASE_CASH,0.09999999999999998,36.11818647455799,255853.741753118,163910.20756966504,-0.06219153310706538,-0.11880638885550165
2021-10-29,245378.16885822057,147080.06367936172,0.440574746161141,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,RELEASE_CASH,0.09999999999999998,36.77921072252105,255853.741753118,163910.20756966504,-0.040943598569708084,-0.10267904689920049
2021-11-01,245370.1917319084,147075.36273643243,0.2515320740079244,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.04097477703228414,-0.10270772688807361
2021-11-02,244263.0532736564,146587.7112435992,0.252672159783836,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.04530200887445235,-0.10568284051927301
2021-11-03,244118.46198032144,146523.8505761797,0.2528218174298678,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.04586714148632742,-0.10607244814875727
2021-11-04,248207.170995214,148330.3274628372,0.248657091487655,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.02988649181172598,-0.09505131094539121
2021-11-05,255625.3004660392,151537.58181309814,0.2414411762588754,0.3500000000000001,GREEN,0.03,0.0,0.3500000000000001,RELEASE_CASH,0.09999999999999998,37.89386892050465,255853.741753118,163910.20756966504,-0.000892858886930914,-0.0754841686800275
2021-11-08,261340.53679416425,154402.15722970333,0.2361611175332488,0.2500000000000001,GREEN,0.03,0.0,0.2500000000000001,RELEASE_CASH,0.09999999999999998,38.610191855389665,261340.53679416425,163910.20756966504,0.0,-0.058007676769737504
2021-11-09,258878.7642721916,152974.07239827001,0.238406859672571,0.2500000000000001,GREEN,0.03,0.0,0.2500000000000001,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.009419788266186946,-0.0667202813878871
2021-11-10,252314.2530722404,149079.5070377194,0.2446095393920464,0.45,GREEN,0.03,0.45,0.45,RAISE_CASH,0.1999999999999999,74.57704203987961,261340.53679416425,163910.20756966504,-0.0345383989512239,-0.09048064029595171
2021-11-11,253973.68011996988,149793.38754201028,0.2430112962764288,0.45,GREEN,0.03,0.45,0.45,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.028188725578369045,-0.08612532579250642
2021-11-12,257877.86154697184,151428.56435419936,0.2393321894939286,0.35,GREEN,0.03,0.0,0.35,RELEASE_CASH,0.10000000000000003,37.86660774048498,261340.53679416425,163910.20756966504,-0.013249667616316518,-0.07614927343777989
2021-11-15,256705.5153708244,150802.59615278334,0.240425193579863,0.24999999999999997,GREEN,0.03,0.0,0.24999999999999997,RELEASE_CASH,0.1,37.71007655733517,261340.53679416425,163910.20756966504,-0.01773556249710495,-0.07996824365749589
2021-11-16,261190.7210898185,153404.23313567095,0.2362965765725849,0.24999999999999997,GREEN,0.03,0.0,0.24999999999999997,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.0005732585774236298,-0.06409591318178798
2021-11-17,259739.65306613687,152567.2746873737,0.2376166769204613,0.24999999999999997,GREEN,0.03,0.0,0.24999999999999997,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.0061256617425877735,-0.06920211407499066
2021-11-18,260894.83348605875,153234.78937664334,0.2365645666545826,0.24999999999999997,GREEN,0.03,0.0,0.24999999999999997,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.0017054503429621004,-0.06512967283312388
2021-11-19,260052.80295322184,152748.93212739626,0.2373305441247286,0.24999999999999997,GREEN,0.03,0.0,0.24999999999999997,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.004927417142165935,-0.06809383996127893
2021-11-22,246187.3713431144,144667.6238587528,0.250697153510897,0.45,GREEN,0.03,0.45,0.45,RAISE_CASH,0.20000000000000004,72.36999692784035,261340.53679416425,163910.20756966504,-0.057982453227241604,-0.1173971041598112
2021-11-23,242833.079778173,143149.20281110643,0.2541600727645036,0.65,GREEN,0.03,0.65,0.65,RAISE_CASH,0.2,71.61040660885764,261340.53679416425,163910.20756966504,-0.0708173987970645,-0.1266608411177491
2021-11-24,248162.50339267496,144587.3397329858,0.2487018481127665,0.55,GREEN,0.03,0.45,0.55,RELEASE_CASH,0.09999999999999998,36.155873901721876,261340.53679416425,163910.20756966504,-0.05042475829866577,-0.11788690968783411
2021-11-26,248617.6632284904,144709.9925856876,0.2482465341544419,0.45000000000000007,GREEN,0.03,0.45,0.45000000000000007,RELEASE_CASH,0.09999999999999998,36.18654478261755,261340.53679416425,163910.20756966504,-0.04868312326034052,-0.11713861673817338
2021-11-29,245962.5843863273,143507.54503930683,0.2509262674241107,0.65,WATCH,0.25,0.65,0.65,RAISE_CASH,0.19999999999999996,71.78966735333006,261340.53679416425,163910.20756966504,-0.058842583689758254,-0.12447463054847685
2021-11-30,242035.3448385978,142436.92207092888,0.2549977701281859,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.07386987182463578,-0.13100639561822036
2021-12-01,225771.23773879296,137940.31968877872,0.6673974431769316,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1361032601053629,-0.1584397229797212
2021-12-02,225915.1308166433,138032.83316017015,0.6669723549063893,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.135552664014854,-0.157875307420964
2021-12-03,221012.75275153405,134874.1433673122,0.6817667529762746,0.6817667529762746,WATCH,0.25,0.65,0.6817667529762746,RAISE_CASH,0.031766752976274626,10.712134712433285,261340.53679416425,163910.20756966504,-0.15431124668727902,-0.1771461621144732
2021-12-06,219072.2137977529,133633.69199272463,0.6878058344216501,0.85,WATCH,0.25,0.85,0.85,RAISE_CASH,0.16823324702372533,56.22772322038647,261340.53679416425,163910.20756966504,-0.16173657372450612,-0.184714033530049
2021-12-07,223005.30297965292,134752.72895596523,0.6756751736236047,0.75,WATCH,0.25,0.65,0.75,RELEASE_CASH,0.09999999999999998,33.69660639058895,261340.53679416425,163910.20756966504,-0.14668690240238058,-0.1778868994556505
2021-12-08,223269.9509803701,134850.66544485075,0.6748742772958699,0.6748742772958699,WATCH,0.25,0.65,0.6748742772958699,RELEASE_CASH,0.0751257227041301,25.331641891454133,261340.53679416425,163910.20756966504,-0.14567424663927708,-0.17728939860236237
2021-12-09,219926.41869277245,132773.08219278968,0.685134363144674,0.85,GREEN,0.03,0.85,0.85,RAISE_CASH,0.17512572270413007,58.15541620990018,261340.53679416425,163910.20756966504,-0.15846802263978732,-0.18996452898542926
2021-12-10,220258.78779715783,132868.67369238578,0.6841004997654214,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1571962371431227,-0.18938133468036766
2021-12-13,216566.24463767296,131810.9864755715,0.6957646934399031,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.17132547711783497,-0.19583418000645725
2021-12-14,217242.03760260827,132013.7809686467,0.6936003200512814,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.16873960592760484,-0.19459695081809802
2021-12-15,220381.0927383352,132947.63134428475,0.6837208443678391,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15672824644149763,-0.18889962183850328
2021-12-16,217031.10269850976,131989.17910549475,0.6942744377937321,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.16954673254747799,-0.19474704435721757
2021-12-17,216687.80618781332,131886.7448425638,0.6953743704394746,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.17086033094636255,-0.19537198568606917
2021-12-20,215355.1232749868,131487.3354023417,0.6996775582504229,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.17595974234718992,-0.19780874326294162
2021-12-21,218509.12823409325,132449.15707999739,0.6895782708369783,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.16389117848106993,-0.19194076413023942
2021-12-22,220042.6905471731,132898.33684851244,0.6847723341096793,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15802311709307448,-0.189200362692311
2021-12-23,220982.13461798916,133168.3285787064,0.6818612150264545,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1544284046832045,-0.18755316979202008
2021-12-27,223073.43258017785,133762.53089400003,0.6754688134168731,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.14642620958617736,-0.18392800010854515
2021-12-28,222090.4814807821,133490.1018782269,0.6784583733850842,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15018739838395634,-0.18559006264761757
2021-12-29,220949.03035849816,133170.04254737002,0.6819633766451881,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15455507565395055,-0.1875427130383558
2021-12-30,220873.2143775869,133148.49046084197,0.6821974644339298,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1548451798292969,-0.1876742001912769
2021-12-31,220669.0666419912,133090.40443498382,0.6828285862749409,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15562633585698382,-0.18802857730249778
2022-01-03,223268.1207115055,133831.74509823052,0.8297756933504034,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1456812500260729,-0.18350573107932033
2022-01-04,222502.4728118778,133427.3264206428,0.8326310145014316,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.14861094439733213,-0.18597304951899596
2022-01-05,220588.1253005863,132398.4884234299,0.8398569026051677,0.85,GREEN,0.03,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1559360518405729,-0.19224988860344194
2022-01-06,220917.93803328284,132583.9061918764,0.8386030637245941,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1546740481088047,-0.1911186730971246
2022-01-07,219626.74371641883,131863.7156600545,0.8435332443194676,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15961470650303222,-0.19551248445579672
2022-01-10,219665.4357787968,131885.98622054813,0.8433846636345212,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15946665422284412,-0.1953766139641181
2022-01-11,220426.06104201087,132323.37198328972,0.8404743921415081,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15655617859382542,-0.19270816659145706
2022-01-12,220684.10475844156,132469.0277751091,0.8394916338411293,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15556879363014509,-0.19181953498041193
2022-01-13,219597.87054747352,131859.68683616107,0.8436441537641426,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15972518752254605,-0.19553706391276382
2022-01-14,220081.80119627723,132138.45564435775,0.841789092325753,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.15787346312211414,-0.19383632292579267
2022-01-18,218654.70325392493,131326.08595324497,0.847283213712923,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1633341465654803,-0.19879251023808986
2022-01-19,217572.15148085364,130687.4618061731,0.8514989551993934,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.16747644988493782,-0.20268869313323046
2022-01-20,216362.05479353675,129953.26508813951,0.8562613247651837,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.17210679427069986,-0.20716795485170236
2022-01-21,215489.31639784583,129406.23929749358,0.859729209611447,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1754462624083134,-0.2105053052141771
2022-01-24,215862.26211088905,129645.7357622561,0.8582438535331441,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.17401921355619843,-0.20904416091869005
2022-01-25,214647.1814529301,128873.52476744245,0.863102223902517,0.85,WATCH,0.25,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.17866862873252054,-0.21375534398814866
2022-01-26,214840.07400816688,129000.42103521405,0.8623272940195902,0.85,DEFENSE_REVIEW,0.45,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.17793053980991025,-0.21298116238193188
2022-01-27,213599.7183563114,128188.96410291686,0.8673347563005199,0.85,DEFENSE_REVIEW,0.45,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.18267666785828263,-0.21793178104277589
2022-01-28,214460.30407255897,128772.91750872179,0.8638543177843796,0.85,DEFENSE_REVIEW,0.45,0.85,0.85,HOLD_CASH,0.0,0.0,261340.53679416425,163910.20756966504,-0.1793837010388054,-0.2143691389446214
