ticker,Name,Sector,Asset Class,Market Value
CPAY,CORPAY INC,Financials,Equity,"14,931,327.03"
CPB,CAMPBELL SOUP,Consumer Staples,Equity,"2,798,334.60"
CPNG,COUPANG INC CLASS A,Consumer Discretionary,Equity,"18,748,288.53"
CPRT,COPART INC,Industrials,Equity,"20,466,679.88"
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,Equity,"7,641,742.40"
CR,CRANE,Industrials,Equity,"6,191,777.33"
CRBG,COREBRIDGE FINANCIAL INC,Financials,Equity,"209,274.60"
CRCL,CIRCLE INTERNET GROUP INC CLASS A,Information Technology,Equity,"7,581,467.28"
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,"54,802,815.75"
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,"5,827,128.13"
CRM,SALESFORCE INC,Information Technology,Equity,"115,342,767.54"
CROX,CROCS INC,Consumer Discretionary,Equity,"3,638,500.88"
CRS,CARPENTER TECHNOLOGY CORP,Industrials,Equity,"14,374,590.44"
CRUS,CIRRUS LOGIC INC,Information Technology,Equity,"6,096,861.42"
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"78,913,022.24"
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"246,344,339.46"
CSGP,COSTAR GROUP INC,Real Estate,Equity,"10,563,235.20"
CSL,CARLISLE COMPANIES INC,Industrials,Equity,"10,480,371.52"
CSX,CSX CORP,Industrials,Equity,"59,788,128.26"
CTAS,CINTAS CORP,Industrials,Equity,"41,923,973.48"
CTRA,COTERRA ENERGY INC,Energy,Equity,"17,699,275.23"
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity,"18,468,600.21"
CTVA,CORTEVA INC,Materials,Equity,"37,655,722.28"
CUBE,CUBESMART REIT,Real Estate,Equity,"6,078,723.20"
CUZ,COUSINS PROPERTIES REIT INC,Real Estate,Equity,"2,906,580.00"
CVNA,CARVANA CLASS A,Consumer Discretionary,Equity,"38,463,235.91"
CVS,CVS HEALTH CORP,Health Care,Equity,"68,821,002.12"
CVX,CHEVRON CORP,Energy,Equity,"242,935,070.28"
CW,CURTISS WRIGHT CORP,Industrials,Equity,"18,465,435.68"
CWEN,CLEARWAY ENERGY INC CLASS C,Utilities,Equity,"2,375,768.75"
CWENA,CLEARWAY ENERGY INC CLASS A,Utilities,Equity,"991,989.60"
CXT,CRANE NXT,Information Technology,Equity,"1,499,478.56"
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,Equity,"4,013,867.97"
D,DOMINION ENERGY INC,Utilities,Equity,"37,420,937.50"
DAL,DELTA AIR LINES INC,Industrials,Equity,"31,185,268.40"
DAR,DARLING INGREDIENTS INC,Consumer Staples,Equity,"6,660,708.80"
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"44,578,332.54"
DBX,DROPBOX INC CLASS A,Information Technology,Equity,"3,098,616.45"
DCI,DONALDSON INC,Industrials,Equity,"7,282,956.69"
DD,DUPONT DE NEMOURS INC,Materials,Equity,"13,639,316.25"
DDOG,DATADOG INC CLASS A,Information Technology,Equity,"28,959,545.34"
DDS,DILLARDS INC CLASS A,Consumer Discretionary,Equity,"1,268,264.65"
DE,DEERE,Industrials,Equity,"97,366,782.66"
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,"11,006,065.14"
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"47,231,775.12"
DG,DOLLAR GENERAL CORP,Consumer Staples,Equity,"18,065,093.70"
DGX,QUEST DIAGNOSTICS INC,Health Care,Equity,"15,450,988.77"
DHI,D R HORTON INC,Consumer Discretionary,Equity,"29,307,797.52"
DHR,DANAHER CORP,Health Care,Equity,"79,773,532.30"
DINO,HF SINCLAIR CORP,Energy,Equity,"6,890,761.80"
DIS,WALT DISNEY,Communication,Equity,"127,608,342.40"
DJT,TRUMP MEDIA TECHNOLOGY GROUP CORP,Communication,Equity,"1,114,141.30"
DKNG,DRAFTKINGS INC CLASS A,Consumer Discretionary,Equity,"7,880,102.88"
DKS,DICKS SPORTING INC,Consumer Discretionary,Equity,"10,133,158.56"
DLB,DOLBY LABORATORIES INC CLASS A,Information Technology,Equity,"2,755,866.56"
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity,"47,502,303.26"
DLTR,DOLLAR TREE INC,Consumer Staples,Equity,"13,204,226.00"
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,Equity,"7,833,348.00"
DOCS,DOXIMITY INC CLASS A,Health Care,Equity,"2,244,824.46"
DOCU,DOCUSIGN INC,Information Technology,Equity,"6,397,696.56"
DOV,DOVER CORP,Industrials,Equity,"21,612,204.36"
DOW,DOW INC,Materials,Equity,"18,964,922.70"
DOX,AMDOCS LTD,Information Technology,Equity,"5,052,750.93"
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity,"7,439,636.40"
