date,leader_basket_level,available_tickers,target_tickers,available_weight
2021-10-15,255.84884491012113,2,2,1.0
2021-10-18,256.24352935223044,2,2,1.0
2021-10-19,255.67660379728883,2,2,1.0
2021-10-20,259.6381111373898,2,2,1.0
2021-10-21,264.64822275392993,2,2,1.0
2021-10-22,266.75977226056597,2,2,1.0
2021-10-25,266.17570625214944,2,2,1.0
2021-10-26,265.1669757113354,2,2,1.0
2021-10-27,262.3258556842613,2,2,1.0
2021-10-28,266.241643510831,2,2,1.0
2021-10-29,270.9173806297288,2,2,1.0
2021-11-01,271.70996445482626,2,2,1.0
2021-11-02,272.01518933086777,2,2,1.0
2021-11-03,274.0818273743513,2,2,1.0
2021-11-04,276.42988302946003,2,2,1.0
2021-11-05,272.6912586763965,2,2,1.0
2021-11-08,273.9368036507869,2,2,1.0
2021-11-09,274.3320586462567,2,2,1.0
2021-11-10,269.463512555152,2,2,1.0
2021-11-11,271.37010695866064,2,2,1.0
2021-11-12,277.56568227557966,2,2,1.0
2021-11-15,279.24350531276144,2,2,1.0
2021-11-16,282.1841826241259,2,2,1.0
2021-11-17,280.3086296122037,2,2,1.0
2021-11-18,275.58360626906574,2,2,1.0
2021-11-19,272.54962235414047,2,2,1.0
2021-11-22,268.25299923466946,2,2,1.0
2021-11-23,270.26700142215657,2,2,1.0
2021-11-24,271.79876714278413,2,2,1.0
2021-11-26,266.8648435800067,2,2,1.0
2021-11-29,270.72237277258586,2,2,1.0
2021-11-30,268.8827504048961,2,2,1.0
2021-12-01,266.47533921759145,2,2,1.0
2021-12-02,273.2011296810912,2,2,1.0
2021-12-03,271.6354507837773,2,2,1.0
2021-12-06,270.9491168772419,2,2,1.0
2021-12-07,283.3759574695368,2,2,1.0
2021-12-08,283.267494006319,2,2,1.0
2021-12-09,278.1021035918819,2,2,1.0
2021-12-10,281.7545478920229,2,2,1.0
2021-12-13,280.7065830432725,2,2,1.0
2021-12-14,280.25746824194766,2,2,1.0
2021-12-15,285.95508524226346,2,2,1.0
2021-12-16,283.97446585070986,2,2,1.0
2021-12-17,283.4441611111282,2,2,1.0
2021-12-20,282.6531931916556,2,2,1.0
2021-12-21,283.53296094130104,2,2,1.0
2021-12-22,286.71597574356264,2,2,1.0
2021-12-23,286.65640519631125,2,2,1.0
2021-12-27,290.79929190281007,2,2,1.0
2021-12-28,292.34589017375686,2,2,1.0
2021-12-29,295.8108649077785,2,2,1.0
2021-12-30,293.1951861941334,2,2,1.0
2021-12-31,292.5269217653027,2,2,1.0
2022-01-03,289.01566948162395,2,2,1.0
2022-01-04,289.4779099358227,2,2,1.0
2022-01-05,279.30254006504794,2,2,1.0
2022-01-06,278.4639374729073,2,2,1.0
2022-01-07,273.9907120346892,2,2,1.0
2022-01-10,272.39365455500587,2,2,1.0
2022-01-11,274.7857802408553,2,2,1.0
2022-01-12,279.8493524769933,2,2,1.0
2022-01-13,271.6201303531201,2,2,1.0
2022-01-14,269.24551067890036,2,2,1.0
2022-01-18,267.3733227944094,2,2,1.0
2022-01-19,268.47847151988617,2,2,1.0
2022-01-20,264.35893299188865,2,2,1.0
2022-01-21,263.14061859678344,2,2,1.0
2022-01-24,261.45096709753824,2,2,1.0
2022-01-25,257.5822106637219,2,2,1.0
2022-01-26,253.46977395440086,2,2,1.0
2022-01-27,251.74372358591276,2,2,1.0
2022-01-28,256.13338730686854,2,2,1.0
2022-01-31,260.81894941627354,2,2,1.0
2022-02-01,259.5487775313609,2,2,1.0
2022-02-02,261.08568842972863,2,2,1.0
2022-02-03,258.8908150328374,2,2,1.0
2022-02-04,257.43694507425533,2,2,1.0
2022-02-07,257.11089745758306,2,2,1.0
2022-02-08,260.2494307085838,2,2,1.0
2022-02-09,264.1125587160901,2,2,1.0
2022-02-10,257.47793069982885,2,2,1.0
2022-02-11,255.76203734902572,2,2,1.0
2022-02-14,255.10495628717948,2,2,1.0
2022-02-15,257.5164589534428,2,2,1.0
2022-02-16,258.0209091835555,2,2,1.0
2022-02-17,256.80683051486,2,2,1.0
2022-02-18,254.85915647021216,2,2,1.0
2022-02-22,252.85373791221065,2,2,1.0
2022-02-23,248.54867980262154,2,2,1.0
2022-02-24,249.8669184977417,2,2,1.0
2022-02-25,256.66297963912376,2,2,1.0
2022-02-28,259.1898624181756,2,2,1.0
2022-03-01,256.74291655337737,2,2,1.0
2022-03-02,261.0482179323693,2,2,1.0
2022-03-03,261.74343871667054,2,2,1.0
2022-03-04,260.5801580810897,2,2,1.0
2022-03-07,239.28163479844378,2,2,1.0
2022-03-08,240.7732472955225,2,2,1.0
2022-03-09,247.617074014194,2,2,1.0
2022-03-10,249.89812449879574,2,2,1.0
2022-03-11,246.96677349089717,2,2,1.0
2022-03-14,237.79232986217846,2,2,1.0
2022-03-15,243.6469809612833,2,2,1.0
