fill_date,gross_value,portfolio,price_return,reason,relative_return,signal_date,ticker
2024-11-18,9908.850288391111,main,-0.0858000082685422,daily_hard_stop_exit,-0.112535492137206,2024-11-15,PSN
2024-11-25,461.7099914550781,main,-0.0519865679035662,weekly_relative_exit,-0.1238118709587595,2024-11-22,VRTX
2024-12-05,6684.414825439453,main,0.6966400492421883,daily_trailing_stop_exit,0.5367422899773531,2024-12-04,TPL
2024-12-06,2247.059875488281,main,-0.1058912283062731,daily_hard_stop_exit,-0.1888204519210058,2024-12-05,UBER
2024-12-09,9149.226348876951,main,0.0059124412013131,weekly_relative_exit,-0.1771182170714262,2024-12-06,TT
2024-12-09,542.9247436523438,main,-0.0370149782493702,weekly_relative_exit,-0.1423115517912928,2024-12-06,UNH
2024-12-13,4504.239349365234,main,-0.09036316212652,daily_hard_stop_exit,-0.0914169051494823,2024-12-12,CRS
2024-12-16,12519.666595458984,main,-0.0747399672620183,weekly_relative_exit,-0.1255350575802601,2024-12-13,EXP
2024-12-16,2170.489990234375,main,-0.0699882112445318,weekly_relative_trim,-0.070880918210174,2024-12-13,FICO
2024-12-16,1641.2545776367188,main,-0.0261514800361584,weekly_relative_trim,-0.0835144528425533,2024-12-13,HLNE
2024-12-16,2835.981750488281,main,-0.0725104693439501,weekly_relative_trim,-0.0734007552248258,2024-12-13,MCK
2024-12-17,3359.6590576171875,main,-0.0824413503960296,daily_hard_stop_exit,-0.0872197546422631,2024-12-16,MCK
2024-12-18,4102.2001953125,main,-0.0831565264281788,daily_hard_stop_exit,-0.0841578882108428,2024-12-17,FICO
2024-12-19,4248.701049804688,main,-0.0954404081218297,daily_hard_stop_exit,-0.0686715300799192,2024-12-18,CEG
2024-12-19,4860.611389160156,main,-0.0855228704682264,daily_hard_stop_exit,-0.0584605000369709,2024-12-18,GS
2024-12-19,1631.652847290039,main,-0.1198717746610129,daily_hard_stop_exit,-0.1463832448448704,2024-12-18,HLNE
2024-12-19,239.84445190429688,main,-0.0945019242191025,daily_hard_stop_exit,-0.0677052733677917,2024-12-18,PEG
2024-12-19,3322.365020751953,main,-0.0911659175000755,daily_hard_stop_exit,-0.0642705432945375,2024-12-18,SCHW
2024-12-19,167.11474609375,main,0.3231392914645488,daily_trailing_stop_exit,0.2269806840598103,2024-12-18,TRGP
2024-12-19,701.5993041992188,main,-0.1007425256470841,daily_hard_stop_exit,-0.1278302124551465,2024-12-18,URI
2024-12-19,806.7380905151367,main,0.3548805219803939,daily_trailing_stop_exit,0.2719435971897934,2024-12-18,VRT
