priority,source,book,ticker,action,journey_tag,entry_date,exit_date,status,months_held,total_return,recent_3m_return,max_weight,reason
85,holding_history,concentrated_grid_presence,FICO,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2.0,0.3552632269868472,0.3552632269868472,0.0574246559000899,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,AFG,study_premature_exit_or_fast_capture,short_big_win_review,2020-09-30,2020-10-30,closed,2.0,0.3664595074067729,0.3664595074067729,0.060499555104583,historical_short_big_win_review
85,holding_history,production_main,CPRT,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2.0,0.37636714369871505,0.37636714369871505,0.024,historical_short_big_win_review
85,holding_history,production_main,PLTR,study_premature_exit_or_fast_capture,short_big_win_review,2024-07-31,2024-08-30,closed,2.0,0.3771279960796998,0.3771279960796998,0.0181217922384116,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,RVTY,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2.0,0.3791723761089416,0.3791723761089416,0.1392270545133378,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,NRG,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2.0,0.38150563859171305,0.38150563859171305,0.0946719683023468,historical_short_big_win_review
85,holding_history,lifecycle_review_overlay_main,ROIV,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2026-01-30,closed,3.0,0.38926494769179465,0.38926494769179465,0.0096228797845115,historical_short_big_win_review
85,holding_history,monster_lifecycle_concentrated,ROIV,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2026-01-30,closed,3.0,0.4044761622160682,0.4044761622160682,0.0869565217391304,historical_short_big_win_review
85,holding_history,monster_lifecycle_main,ROIV,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2026-01-30,closed,3.0,0.4044761622160682,0.4044761622160682,0.0575539568345323,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,NRG,study_premature_exit_or_fast_capture,short_big_win_review,2025-04-30,2025-04-30,closed,1.0,0.4065953484491831,0.4065953484491831,0.125,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,MTDR,study_premature_exit_or_fast_capture,short_big_win_review,2026-01-30,2026-02-27,open,2.0,0.41780896626539077,0.41780896626539077,0.0624609142030765,historical_short_big_win_review
85,holding_history,main_v2_research,MELI,study_premature_exit_or_fast_capture,short_big_win_review,2020-05-29,2020-07-31,closed,3.0,0.43064516279140097,0.43064516279140097,0.15,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,RL,study_premature_exit_or_fast_capture,short_big_win_review,2023-11-30,2024-01-31,closed,3.0,0.4500619073230714,0.4500619073230714,0.0891089630580468,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,SNPS,study_premature_exit_or_fast_capture,short_big_win_review,2020-03-31,2020-04-30,closed,2.0,0.4722494116679943,0.4722494116679943,0.0625533821968494,historical_short_big_win_review
85,holding_history,main_v2_research,TPR,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2026-01-30,closed,3.0,0.4799063429844286,0.4799063429844286,0.0264371353196352,historical_short_big_win_review
85,holding_history,main_v2_research,DKS,study_premature_exit_or_fast_capture,short_big_win_review,2023-12-29,2024-02-29,closed,3.0,0.531480379305449,0.531480379305449,0.15,historical_short_big_win_review
85,holding_history,main_v2_research,FTAI,study_premature_exit_or_fast_capture,short_big_win_review,2024-05-31,2024-07-31,closed,3.0,0.5719499976406832,0.5719499976406832,0.15,historical_short_big_win_review
85,holding_history,main_v2_research,UEC,study_premature_exit_or_fast_capture,short_big_win_review,2025-07-31,2025-08-29,closed,2.0,0.646039643108629,0.646039643108629,0.0813034717628677,historical_short_big_win_review
85,holding_history,main_v2_research,UI,study_premature_exit_or_fast_capture,short_big_win_review,2026-01-30,2026-03-31,open,3.0,0.8074232664999961,0.8074232664999961,0.1452799772448462,historical_short_big_win_review
75,holding_history,main_v2_research,GTLS,tighten_entry_or_fast_exit,quick_loss,2022-10-31,2022-10-31,closed,1.0,-0.3706366931331232,-0.3706366931331232,0.0276056869202784,historical_quick_loss
75,holding_history,main_v2_research,KNSL,tighten_entry_or_fast_exit,quick_loss,2024-02-29,2024-03-28,closed,2.0,-0.31987626936269453,-0.31987626936269453,0.1263163615917425,historical_quick_loss
75,holding_history,monster_lifecycle_concentrated,TER,tighten_entry_or_fast_exit,quick_loss,2021-12-31,2021-12-31,closed,1.0,-0.2877593972433198,-0.2877593972433198,0.0279329608938547,historical_quick_loss
75,holding_history,monster_lifecycle_main,TER,tighten_entry_or_fast_exit,quick_loss,2021-12-31,2021-12-31,closed,1.0,-0.2877593972433198,-0.2877593972433198,0.0159574468085106,historical_quick_loss
75,holding_history,main_v2_research,DVN,tighten_entry_or_fast_exit,quick_loss,2022-05-31,2022-05-31,closed,1.0,-0.26205798459968777,-0.26205798459968777,0.0434952539011603,historical_quick_loss
75,holding_history,main_v2_research,SCCO,tighten_entry_or_fast_exit,quick_loss,2026-02-27,2026-02-27,closed,1.0,-0.2546186074068296,-0.2546186074068296,0.1209264455189766,historical_quick_loss
75,holding_history,monster_lifecycle_concentrated,TSLA,tighten_entry_or_fast_exit,quick_loss,2021-11-30,2021-12-31,closed,2.0,-0.25210145271296147,-0.25210145271296147,0.0279329608938547,historical_quick_loss
75,holding_history,monster_lifecycle_main,TSLA,tighten_entry_or_fast_exit,quick_loss,2021-11-30,2021-12-31,closed,2.0,-0.25210145271296147,-0.25210145271296147,0.0425531914893617,historical_quick_loss
75,holding_history,monster_lifecycle_concentrated,ADSK,tighten_entry_or_fast_exit,quick_loss,2020-01-31,2020-02-28,closed,2.0,-0.24930751688298847,-0.24930751688298847,0.05,historical_quick_loss
75,holding_history,monster_lifecycle_main,ADSK,tighten_entry_or_fast_exit,quick_loss,2020-01-31,2020-02-28,closed,2.0,-0.24930751688298847,-0.24930751688298847,0.0271948018042844,historical_quick_loss
75,holding_history,monster_lifecycle_main,ULTA,tighten_entry_or_fast_exit,quick_loss,2024-02-29,2024-03-28,closed,2.0,-0.24261241730846017,-0.24261241730846017,0.0285093054372947,historical_quick_loss
75,holding_history,main_v2_research,AMKR,tighten_entry_or_fast_exit,quick_loss,2021-02-26,2021-03-31,closed,2.0,-0.24130078735011562,-0.24130078735011562,0.1496596222599245,historical_quick_loss
75,holding_history,main_v2_research,FICO,tighten_entry_or_fast_exit,quick_loss,2024-11-29,2024-12-31,closed,2.0,-0.23564059604472176,-0.23564059604472176,0.15,historical_quick_loss
75,holding_history,monster_lifecycle_concentrated,FICO,tighten_entry_or_fast_exit,quick_loss,2020-01-31,2020-02-28,closed,2.0,-0.22731798600688136,-0.22731798600688136,0.05,historical_quick_loss
75,holding_history,monster_lifecycle_main,FICO,tighten_entry_or_fast_exit,quick_loss,2020-01-31,2020-02-28,closed,2.0,-0.22731798600688136,-0.22731798600688136,0.0271948018042844,historical_quick_loss
75,holding_history,main_v2_research,WH,tighten_entry_or_fast_exit,quick_loss,2025-02-28,2025-03-31,closed,2.0,-0.22660873753321575,-0.22660873753321575,0.0520538909227473,historical_quick_loss
75,holding_history,main_v2_research,P,tighten_entry_or_fast_exit,quick_loss,2025-10-31,2025-10-31,closed,1.0,-0.21199996948242184,-0.21199996948242184,0.15,historical_quick_loss
75,holding_history,main_v2_research,FSLR,tighten_entry_or_fast_exit,quick_loss,2024-05-31,2024-06-28,closed,2.0,-0.21131225337416049,-0.21131225337416049,0.15,historical_quick_loss
75,holding_history,monster_lifecycle_main,EXPE,tighten_entry_or_fast_exit,quick_loss,2025-12-31,2026-01-30,closed,2.0,-0.2112580599649465,-0.2112580599649465,0.0215827338129496,historical_quick_loss
75,holding_history,monster_lifecycle_concentrated,GOOG,tighten_entry_or_fast_exit,quick_loss,2020-01-31,2020-02-28,closed,2.0,-0.21082872938328345,-0.21082872938328345,0.05,historical_quick_loss
75,holding_history,monster_lifecycle_main,GOOG,tighten_entry_or_fast_exit,quick_loss,2020-01-31,2020-02-28,closed,2.0,-0.21082872938328345,-0.21082872938328345,0.0271948018042844,historical_quick_loss
75,holding_history,monster_lifecycle_main,LYB,tighten_entry_or_fast_exit,quick_loss,2022-05-31,2022-05-31,closed,1.0,-0.20533134131872732,-0.20533134131872732,0.03,historical_quick_loss
75,holding_history,main_v2_research,THC,tighten_entry_or_fast_exit,quick_loss,2026-02-27,2026-02-27,closed,1.0,-0.20198310176028467,-0.20198310176028467,0.0359143537081754,historical_quick_loss
