ticker,trade_count,win_rate,compound_realized_return,avg_realized_return,best_trade_return,worst_trade_return,avg_alpha_vs_benchmark,avg_holding_days,max_holding_days,dominant_exit_reason,churn_tag
PAYC,2,0.5,0.033840937809292315,0.021870074896354445,0.1237401497927088,-0.0799999999999999,0.11931738825083095,61.0,122.0,scheduled_rebalance,normal
ARES,1,1.0,0.03361616540916934,0.0336161654091693,0.0336161654091693,0.0336161654091693,-0.0008274052016261,0.0,0.0,single_period_hold,normal
GTM,1,1.0,0.03306294793060016,0.0330629479306001,0.0330629479306001,0.0330629479306001,-0.0027411759700295,29.0,29.0,scheduled_rebalance,normal
MLM,1,1.0,0.02872019392107905,0.028720193921079,0.028720193921079,0.028720193921079,-0.0792978317570094,60.0,60.0,scheduled_rebalance,normal
PWR,2,0.5,0.027513321064809526,0.016590412331485952,0.0936796163712934,-0.0604987917083215,-0.03270686910384135,43.5,59.0,scheduled_rebalance,normal
SUI,1,1.0,0.02697778000961204,0.026977780009612,0.026977780009612,0.026977780009612,-0.0531402764315693,0.0,0.0,single_period_hold,normal
AEE,3,0.3333333333333333,0.026487617362503713,0.009790711980816302,0.0748662309572021,-0.0284299506885935,-0.020719034984767293,31.0,63.0,scheduled_rebalance,normal
T,2,1.0,0.022886851983577206,0.0113965163826654,0.0174016281563242,0.0053914046090066,-0.0117269420837036,14.5,29.0,single_period_hold,normal
PPL,2,0.5,0.02121155558801502,0.01338754389147125,0.0891685344258632,-0.0623934466429207,-0.0759216923039473,92.0,154.0,scheduled_rebalance,normal
DINO,1,1.0,0.020494020508071698,0.0204940205080716,0.0204940205080716,0.0204940205080716,-0.0659629956818581,120.0,120.0,scheduled_rebalance,normal
FCNCA,1,1.0,0.019906123794386943,0.0199061237943869,0.0199061237943869,0.0199061237943869,-0.0356657521976717,0.0,0.0,single_period_hold,normal
GS,3,0.3333333333333333,0.019046336932362795,0.012259343155902158,0.1703186561444001,-0.0799999999999999,0.03150893887638246,81.66666666666667,154.0,scheduled_rebalance,normal
BABA,2,0.5,0.017341410944656577,0.009448630962046551,0.050008803625553,-0.0311115417014599,-0.022870061354980202,91.5,153.0,scheduled_rebalance,normal
CVNA,1,1.0,0.017133331298827992,0.0171333312988279,0.0171333312988279,0.0171333312988279,0.008545249056945,62.0,62.0,scheduled_rebalance,normal
NET,2,0.5,0.01674849036924453,0.015101652428806248,0.1320754716981131,-0.1018721668405006,-0.028347594600455495,31.0,32.0,scheduled_rebalance,normal
NEU,1,1.0,0.015476665497149655,0.0154766654971496,0.0154766654971496,0.0154766654971496,-0.0306083094231219,0.0,0.0,single_period_hold,normal
TRV,1,1.0,0.015411974588823707,0.0154119745888237,0.0154119745888237,0.0154119745888237,0.0237001413894772,30.0,30.0,scheduled_rebalance,normal
EBAY,1,1.0,0.014873675693794164,0.0148736756937941,0.0148736756937941,0.0148736756937941,-0.0312112992264774,0.0,0.0,single_period_hold,normal
LPX,2,1.0,0.014572351930546956,0.00727659424658485,0.0130891140488986,0.0014640744442711,-0.03744661671711155,14.5,29.0,scheduled_rebalance,normal
META,2,0.5,0.014359078680905801,0.01154453596626405,0.1056894750883357,-0.0826004031558076,0.013542733381555299,15.0,30.0,single_period_hold,normal
LIN,1,1.0,0.013351795676943112,0.0133517956769431,0.0133517956769431,0.0133517956769431,-0.0304606348854665,0.0,0.0,single_period_hold,normal
