signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2021-12-28,2021-12-29,main,GREEN,0.45000000000000007,0.55,0.03,-0.15211915385587726,0.55,0.2907635899701349,0.09999999999999998,41.30940294552105,RAISE_CASH
2022-01-03,2022-01-04,main,GREEN,0.55,0.7483663598110422,0.03,-0.1494217527738072,0.35,0.7483663598110422,0.19836635981104211,82.20465084710656,RAISE_CASH
2022-01-21,2022-01-24,main,WATCH,0.7483663598110422,0.7818068023173782,0.15,-0.18828562411887184,0.55,0.7818068023173782,0.03344044250633604,13.224807123568066,RAISE_CASH
2022-02-01,2022-02-02,main,DEFENSE_REVIEW,0.7818068023173782,0.6818068023173782,0.35,-0.17993983981532147,0.55,0.60372701221294,0.09999999999999998,39.95395785940322,RELEASE_CASH
2022-02-02,2022-02-03,main,DEFENSE_REVIEW,0.6818068023173782,0.6017709751829584,0.35,-0.17800502430545828,0.55,0.6017709751829584,0.08003582713441981,32.052926970899705,RELEASE_CASH
2022-03-07,2022-03-08,main,DEFENSE_REVIEW,0.6017709751829584,0.75,0.35,-0.2159640350098987,0.75,0.6181064621939908,0.1482290248170416,56.621755472240594,RAISE_CASH
2022-03-17,2022-03-18,main,DEFENSE_REVIEW,0.75,0.65,0.35,-0.19874521336517048,0.55,0.5975683236032918,0.09999999999999998,39.03774568519908,RELEASE_CASH
2022-03-18,2022-03-21,main,DEFENSE_REVIEW,0.65,0.5911607501461831,0.35,-0.1913941537888516,0.55,0.5911607501461831,0.058839249853816944,23.1802490481966,RELEASE_CASH
2022-03-31,2022-04-01,main,GREEN,0.5911607501461831,0.75,0.03,-0.20081920652469343,0.75,0.598220714200875,0.15883924985381692,61.84676085262736,RAISE_CASH
2022-04-01,2022-04-04,main,GREEN,0.75,0.8053433855848257,0.03,-0.20311819824376898,0.75,0.8053433855848257,0.055343385584825655,21.486898176154792,RAISE_CASH
