rebalance_date,hard_stop,target_n,weighting_mode,active_rebalance_interval_months,cost_bps,gross_return,original_gross_return,cost,turnover,net_return,return_delta,risk_exit_count,n_positions
2023-10-31,-0.08,3,score_power,1,25.0,0.061382679994694385,0.061382679994694385,0.0025,1.0,0.05888267999469438,0.0,0,3
2023-11-30,-0.08,3,score_power,1,25.0,0.1124548024079542,0.1124548024079542,0.0025,1.0,0.1099548024079542,0.0,0,3
2023-12-29,-0.08,3,score_power,1,25.0,0.06586387993814587,0.06586387993814587,0.001085801973931141,0.43432078957245634,0.06477807796421473,0.0,0,3
2024-01-31,-0.08,3,score_power,1,25.0,0.2917317338217837,0.2917317338217837,0.000967033970742023,0.3868135882968092,0.29076469985104164,0.0,0,3
2024-02-29,-0.08,3,score_power,1,25.0,0.10392387857749004,0.10392387857749004,0.0003324964801089014,0.13299859204356057,0.10359138209738114,0.0,0,3
2024-03-28,-0.08,3,score_power,1,25.0,-0.06403258167259783,-0.06403258167259783,0.0005383449934122837,0.2153379973649135,-0.06457092666601011,0.0,0,3
2024-04-30,-0.08,3,score_power,1,25.0,0.03788743105440877,0.03788743105440877,0.0025,1.0,0.035387431054408766,0.0,0,3
2024-05-31,-0.08,3,score_power,1,25.0,-0.03545478282357721,-0.03545478282357721,0.0008271288114071701,0.33085152456286804,-0.03628191163498438,0.0,0,3
2024-06-28,-0.08,3,score_power,1,25.0,0.004331486527722495,0.004331486527722495,0.0017496561074685979,0.6998624429874392,0.002581830420253897,0.0,0,3
2024-07-31,-0.08,3,score_power,1,25.0,0.053568308505284074,0.053568308505284074,0.0017070971839249843,0.6828388735699937,0.05186121132135909,0.0,0,3
2024-08-30,-0.08,3,score_power,1,25.0,0.094020208852405,0.094020208852405,0.001741725947384435,0.696690378953774,0.09227848290502057,0.0,0,3
2024-09-30,-0.08,3,score_power,1,25.0,0.04798555195235989,0.04798555195235989,0.001018335723357031,0.4073342893428124,0.04696721622900286,0.0,0,3
2024-10-31,-0.08,3,score_power,1,25.0,0.11281589046078445,0.11281589046078445,0.0016357153452381057,0.6542861380952423,0.11118017511554634,0.0,0,3
2024-11-29,-0.08,3,score_power,1,25.0,-0.01474226321355945,-0.01474226321355945,0.0007619699049693947,0.30478796198775787,-0.015504233118528844,0.0,0,3
2024-12-31,-0.08,3,score_power,1,25.0,0.007872906197846185,0.007872906197846185,0.0016677334463742893,0.6670933785497157,0.006205172751471895,0.0,0,3
2025-01-31,-0.08,3,score_power,1,25.0,-0.007285939981151778,-0.007285939981151778,7.217402949099401e-05,0.028869611796397604,-0.007358114010642772,0.0,0,3
2025-02-28,-0.08,3,score_power,1,25.0,-0.030902326511634822,-0.030902326511634822,0.0025,1.0,-0.03340232651163482,0.0,0,3
2025-03-31,-0.08,3,score_power,1,25.0,-0.007703880838443587,-0.007703880838443587,0.0006082534742780187,0.24330138971120746,-0.008312134312721606,0.0,0,3
2025-04-30,-0.08,3,score_power,1,25.0,0.024914772413148895,0.024914772413148895,0.0005630019548898085,0.2252007819559234,0.024351770458259085,0.0,0,3
2025-05-30,-0.08,3,score_power,1,25.0,0.028363376933329472,0.028363376933329472,0.0005994847187056994,0.23979388748227976,0.027763892214623772,0.0,0,3
2025-06-30,-0.08,3,score_power,1,25.0,0.03688488235021656,0.03688488235021656,0.0009500738753303488,0.3800295501321395,0.03593480847488621,0.0,0,3
2025-07-31,-0.08,3,score_power,1,25.0,0.008401463046022845,0.008401463046022845,0.0005759855586607151,0.23039422346428606,0.00782547748736213,0.0,0,3
2025-08-29,-0.08,3,score_power,1,25.0,-0.014051748452119199,-0.014051748452119199,0.0025,1.0,-0.016551748452119198,0.0,0,3
2025-09-30,-0.08,3,score_power,1,25.0,0.19994361496030727,0.19994361496030727,0.0025,1.0,0.19744361496030727,0.0,0,3
2025-10-31,-0.08,3,score_power,1,25.0,0.00016110933406182637,0.00016110933406182637,0.0008793904677538195,0.3517561871015278,-0.0007182811336919931,0.0,0,3
2025-11-28,-0.08,3,score_power,1,25.0,0.08606638012712747,0.08606638012712747,0.0017300031265399685,0.6920012506159874,0.0843363770005875,0.0,0,3
2025-12-31,-0.08,3,score_power,1,25.0,0.2305391422171962,0.2305391422171962,0.0009294622312868255,0.3717848925147302,0.2296096799859094,0.0,0,3
2026-01-30,-0.08,3,score_power,1,25.0,0.05636875413871375,0.05636875413871375,0.0018398169919902779,0.7359267967961112,0.05452893714672347,0.0,0,3
2026-02-27,-0.08,3,score_power,1,25.0,0.0478567182222176,0.0478567182222176,0.0025,1.0,0.045356718222217596,0.0,0,3
